"","Province","Country","Confirmed","Deaths","Recovered","DateRep","countries","dia","ln","population","yearChange","netChange","density","landArea","migrants","fertRate","medAge","urbanPop","worldShare","GeoId","pop1m","S","I","R"
"37",NA,"Lithuania",1,0,0,2020-03-02,"Lithuania",1,17,2722289,"-1,35%",-37338,43,62674,-32780,1.7,45,"71%","0,03%","LT",2.7,2722288,1,0
"38",NA,"Luxembourg",1,0,0,2020-03-02,"Luxembourg",1,18,625978,"1,66%",10249,242,2590,9741,1.5,40,"88%","0,01%","LU",0.6,625977,1,0
"39",NA,"Italy",2502,79,160,2020-03-03,"Italy",2,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60459085,2502,239
"40",NA,"France",204,4,12,2020-03-03,"France",2,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65273291,204,16
"41",NA,"Germany",196,0,16,2020-03-03,"Germany",2,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83783730,196,16
"42",NA,"Spain",165,1,2,2020-03-03,"Spain",2,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754610,165,3
"43",NA,"Netherlands",24,0,0,2020-03-03,"Netherlands",2,20,17134872,"0,22%",37742,508,33720,16000,1.7,43,"92%","0,22%","NL",17.1,17134848,24,0
"44",NA,"Austria",21,0,0,2020-03-03,"Austria",2,1,9006398,"0,57%",51296,109,82409,65000,1.5,43,"57%","0,12%","AT",9,9006377,21,0
"45",NA,"Sweden",21,0,0,2020-03-03,"Sweden",2,27,10099265,"0,63%",62886,25,410340,40000,1.9,41,"88%","0,13%","SE",10.1,10099244,21,0
"46",NA,"Belgium",13,0,1,2020-03-03,"Belgium",2,2,11589623,"0,44%",50295,383,30280,48000,1.7,42,"98%","0,15%","BE",11.6,11589609,13,1
"47",NA,"Croatia",9,0,0,2020-03-03,"Croatia",2,4,4105267,"-0,61%",-25037,73,55960,-8001,1.4,44,"58%","0,05%","HR",4.1,4105258,9,0
"48",NA,"Greece",7,0,0,2020-03-03,"Greece",2,12,10423054,"-0,48%",-50401,81,128900,-16000,1.3,46,"85%","0,13%","EL",10.4,10423047,7,0
"49",NA,"Denmark",6,0,0,2020-03-03,"Denmark",2,7,5792202,"0,35%",20326,137,42430,15200,1.8,42,"88%","0,07%","DK",5.8,5792196,6,0
"50",NA,"Finland",6,0,1,2020-03-03,"Finland",2,9,5540720,"0,15%",8564,18,303890,14000,1.5,43,"86%","0,07%","FI",5.5,5540713,6,1
"51",NA,"Czechia",5,0,0,2020-03-03,"Czechia",2,6,10708981,"0,18%",19772,139,77240,22011,1.6,43,"74%","0,14%","CZ",10.7,10708976,5,0
"52",NA,"Romania",3,0,0,2020-03-03,"Romania",2,23,19237691,"-0,66%",-126866,84,230170,-73999,1.6,43,"55%","0,25%","RO",19.2,19237688,3,0
"53",NA,"Estonia",2,0,0,2020-03-03,"Estonia",2,8,1326535,"0,07%",887,31,42390,3911,1.6,42,"68%","0,02%","EE",1.3,1326533,2,0
"54",NA,"Ireland",2,0,0,2020-03-03,"Ireland",2,14,4937786,"1,13%",55291,72,68890,23604,1.8,38,"63%","0,06%","IE",4.9,4937784,2,0
"55",NA,"Portugal",2,0,0,2020-03-03,"Portugal",1,22,10196709,"-0,29%",-29478,111,91590,-6000,1.3,46,"66%","0,13%","PT",10.2,10196707,2,0
"56",NA,"Latvia",1,0,0,2020-03-03,"Latvia",1,16,1886198,"-1,08%",-20545,30,62200,-14837,1.7,44,"69%","0,02%","LV",1.9,1886197,1,0
"57",NA,"Lithuania",1,0,0,2020-03-03,"Lithuania",2,17,2722289,"-1,35%",-37338,43,62674,-32780,1.7,45,"71%","0,03%","LT",2.7,2722288,1,0
"58",NA,"Luxembourg",1,0,0,2020-03-03,"Luxembourg",2,18,625978,"1,66%",10249,242,2590,9741,1.5,40,"88%","0,01%","LU",0.6,625977,1,0
"59",NA,"Italy",3089,107,276,2020-03-04,"Italy",3,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60458354,3089,383
"60",NA,"France",285,4,12,2020-03-04,"France",3,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65273210,285,16
"61",NA,"Germany",262,0,16,2020-03-04,"Germany",3,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83783664,262,16
"62",NA,"Spain",222,2,2,2020-03-04,"Spain",3,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754552,222,4
"63",NA,"Netherlands",38,0,0,2020-03-04,"Netherlands",3,20,17134872,"0,22%",37742,508,33720,16000,1.7,43,"92%","0,22%","NL",17.1,17134834,38,0
"64",NA,"Sweden",35,0,0,2020-03-04,"Sweden",3,27,10099265,"0,63%",62886,25,410340,40000,1.9,41,"88%","0,13%","SE",10.1,10099230,35,0
"65",NA,"Austria",29,0,0,2020-03-04,"Austria",3,1,9006398,"0,57%",51296,109,82409,65000,1.5,43,"57%","0,12%","AT",9,9006369,29,0
"66",NA,"Belgium",23,0,1,2020-03-04,"Belgium",3,2,11589623,"0,44%",50295,383,30280,48000,1.7,42,"98%","0,15%","BE",11.6,11589599,23,1
"67",NA,"Croatia",10,0,0,2020-03-04,"Croatia",3,4,4105267,"-0,61%",-25037,73,55960,-8001,1.4,44,"58%","0,05%","HR",4.1,4105257,10,0
"68",NA,"Denmark",10,0,0,2020-03-04,"Denmark",3,7,5792202,"0,35%",20326,137,42430,15200,1.8,42,"88%","0,07%","DK",5.8,5792192,10,0
"69",NA,"Greece",9,0,0,2020-03-04,"Greece",3,12,10423054,"-0,48%",-50401,81,128900,-16000,1.3,46,"85%","0,13%","EL",10.4,10423045,9,0
"70",NA,"Czechia",8,0,0,2020-03-04,"Czechia",3,6,10708981,"0,18%",19772,139,77240,22011,1.6,43,"74%","0,14%","CZ",10.7,10708973,8,0
"71",NA,"Finland",6,0,1,2020-03-04,"Finland",3,9,5540720,"0,15%",8564,18,303890,14000,1.5,43,"86%","0,07%","FI",5.5,5540713,6,1
"72",NA,"Ireland",6,0,0,2020-03-04,"Ireland",3,14,4937786,"1,13%",55291,72,68890,23604,1.8,38,"63%","0,06%","IE",4.9,4937780,6,0
"73",NA,"Portugal",5,0,0,2020-03-04,"Portugal",2,22,10196709,"-0,29%",-29478,111,91590,-6000,1.3,46,"66%","0,13%","PT",10.2,10196704,5,0
"74",NA,"Romania",4,0,1,2020-03-04,"Romania",3,23,19237691,"-0,66%",-126866,84,230170,-73999,1.6,43,"55%","0,25%","RO",19.2,19237686,4,1
"75",NA,"Estonia",2,0,0,2020-03-04,"Estonia",3,8,1326535,"0,07%",887,31,42390,3911,1.6,42,"68%","0,02%","EE",1.3,1326533,2,0
"76",NA,"Hungary",2,0,0,2020-03-04,"Hungary",0,13,9660351,"-0,25%",-24328,107,90530,6000,1.5,43,"72%","0,12%","HU",9.7,9660349,2,0
"77",NA,"Latvia",1,0,0,2020-03-04,"Latvia",2,16,1886198,"-1,08%",-20545,30,62200,-14837,1.7,44,"69%","0,02%","LV",1.9,1886197,1,0
"78",NA,"Lithuania",1,0,0,2020-03-04,"Lithuania",3,17,2722289,"-1,35%",-37338,43,62674,-32780,1.7,45,"71%","0,03%","LT",2.7,2722288,1,0
"79",NA,"Luxembourg",1,0,0,2020-03-04,"Luxembourg",3,18,625978,"1,66%",10249,242,2590,9741,1.5,40,"88%","0,01%","LU",0.6,625977,1,0
